PART NUMBER,CONFIG VERSION,CUSTOMER NAME
HE517512,23,BSNL
HE517346,23,BSNL
HE517358,24,BSNL
HE517359,24,BSNL
HE517360,24,BSNL
HE517513,35,BSNL
HE517393,36,BSNL
HE517392,36,BSNL
HE517391,36,BSNL
HE517417,37,BSNL
HE517420,38,BSNL
HE517512,23.02,BSNL
HE517512,23.03,BSNL
